1,статья
2,тезисы
3,депонирование
4,монография
5,учебник
6,учебное пособие
7,методические указания
8,другое электронное издание
9,лабораторный практикум
10,сборник задач
11,электронный учебник
12,электронное пособие
13,другое издание
14,редколлегия
15,электронное учебное издание по дисциплине
16,сборник докладов
17,глава в коллективной монографии
18,рецензирование
19,.
